Date, Transaction Details, Funds Out, Funds In 
01/03/2025,INVESTMENT IG FIN SERV   IG SERV FIN CHEQUE,660.00,
01/03/2025,MISCELLANEOUS PAYMENTS ALIGHT SOLUTIONS CHEQUE,30.63,
01/03/2025,INSURANCE RBCINS-LIFE CHEQUE,189.00,
01/03/2025,EFT DEBIT CST Savings CHEQUE,160.00,
01/03/2025,LIFE INSURANCE CANADA LIFE ING CHEQUE,366.46,
01/03/2025,INSURANCE CANADA LIFE ASSURANCE CC3100 CHEQUE,267.30,
01/06/2025,MORTGAGE INVESTORS GROUP,1000.00,
01/15/2025, TRANSFER IN 4223.42 USD@.703904,,6000.00
01/15/2025,INTERNET BILL PAYMENT MASTERCARD PC FINANCIAL,2500.00,
01/16/2025,PROPERTY TAXES City of Hamilto CHEQUE,644.44,
01/20/2025,EFT CREDIT ACE/CCB,,74.92
01/20/2025,MORTGAGE INVESTORS GROUP,1000.00,
01/22/2025,INSURANCE CERTAS HOME &AUTO INSURANCE CO CHEQUE,348.72,
01/27/2025,LIFE INSURANCE CANADA LIFE ING CHEQUE,66.60,
01/28/2025,BILL PAYMENT Hydro One CHEQUE,186.68,
01/29/2025,EFT CREDIT CANADA LIFE,,1948.99
01/29/2025,EFT CREDIT RPC/CPP,,2215.05
01/29/2025, INTEREST,,0.23
