Date, Transaction Details, Funds Out, Funds In 
03/03/2025,MORTGAGE INVESTORS GROUP,1000.00,
03/04/2025,INVESTMENT IG FIN SERV   IG SERV FIN CHEQUE,660.00,
03/04/2025,INSURANCE RBCINS-LIFE CHEQUE,189.00,
03/04/2025,EFT DEBIT CST Savings CHEQUE,160.00,
03/04/2025,MISCELLANEOUS PAYMENTS ALIGHT SOLUTIONS CHEQUE,30.63,
03/04/2025,LIFE INSURANCE CANADA LIFE ING CHEQUE,366.46,
03/05/2025,INSURANCE CANADA LIFE ASSURANCE CC3100 CHEQUE,267.30,
03/17/2025,MORTGAGE INVESTORS GROUP,1000.00,
03/17/2025, TRANSFER IN 4243.53 USD@.707255,,6000.00
03/18/2025,PROPERTY TAXES City of Hamilto CHEQUE,644.44,
03/20/2025,EFT CREDIT ACE/CCB,,74.92
03/24/2025,INSURANCE CERTAS HOME &AUTO INSURANCE CO CHEQUE,348.72,
03/24/2025,INTERNET BILL PAYMENT MASTERCARD PC FINANCIAL,3000.00,
03/25/2025,LIFE INSURANCE CANADA LIFE ING CHEQUE,66.60,
03/27/2025,EFT CREDIT CANADA LIFE,,1948.99
03/27/2025,EFT CREDIT RPC/CPP,,2215.05
03/27/2025,BILL PAYMENT Hydro One CHEQUE,152.57,
03/30/2025, INTEREST,,0.26
03/31/2025,MORTGAGE INVESTORS GROUP,1000.00,
03/31/2025,INTERNET BILL PAYMENT MASTERCARD PC FINANCIAL,1200.00,
