Date, Transaction Details, Funds Out, Funds In 
06/03/2025,INVESTMENT IG FIN SERV   IG SERV FIN CHEQUE,660.00,
06/03/2025,INSURANCE RBCINS-LIFE CHEQUE,189.00,
06/03/2025,MISCELLANEOUS PAYMENTS ALIGHT SOLUTIONS CHEQUE,30.63,
06/03/2025,EFT DEBIT CST Savings CHEQUE,160.00,
06/03/2025,LIFE INSURANCE CANADA LIFE ING CHEQUE,366.46,
06/04/2025,INSURANCE CANADA LIFE ASSURANCE CC3100 CHEQUE,267.30,
06/09/2025,MORTGAGE INVESTORS GROUP,1000.00,
06/10/2025,INTERNET BILL PAYMENT MASTERCARD PC FINANCIAL,3000.00,
06/16/2025, TRANSFER IN 4458.00 USD@.743000,,6000.00
06/17/2025,PROPERTY TAXES City of Hamilto CHEQUE,644.44,
06/20/2025,EFT CREDIT ACE/CCB,,75.04
06/23/2025,MORTGAGE INVESTORS GROUP,1000.00,
06/24/2025,INSURANCE CERTAS HOME &AUTO INSURANCE CO CHEQUE,348.72,
06/25/2025,LIFE INSURANCE CANADA LIFE ING CHEQUE,66.60,
06/25/2025, INTEREST,,0.30
06/26/2025,EFT CREDIT CANADA LIFE,,1948.99
06/26/2025,EFT CREDIT RPC/CPP,,2215.05
06/26/2025,BILL PAYMENT Hydro One CHEQUE,150.31,
