Date, Transaction Details, Funds Out, Funds In 
12/03/2024,INVESTMENT IG FIN SERV   IG SERV FIN CHEQUE,660.00,
12/03/2024,MISCELLANEOUS PAYMENTS ALIGHT SOLUTIONS CHEQUE,29.73,
12/03/2024,INSURANCE RBCINS-LIFE CHEQUE,189.00,
12/03/2024,EFT DEBIT CST Savings CHEQUE,160.00,
12/03/2024,LIFE INSURANCE CANADA LIFE ING CHEQUE,366.46,
12/04/2024,INSURANCE CANADA LIFE ASSURANCE CC3100 CHEQUE,267.30,
12/05/2024,CHEQUE #3 CHEQUE  0000003,35.00,
12/09/2024,MORTGAGE INVESTORS GROUP,1000.00,
12/13/2024,EFT CREDIT ACE/CCB,,74.92
12/16/2024, TRANSFER IN 4254.85 USD@.709142,,6000.00
12/16/2024,INTERNET BILL PAYMENT MASTERCARD PC FINANCIAL,6000.00,
12/17/2024,PROPERTY TAXES City of Hamilto CHEQUE,675.58,
12/17/2024,CHEQUE #5 CHEQUE  0000005,25.00,
12/17/2024,CHEQUE #6 CHEQUE  0000006,72.00,
12/20/2024,EFT CREDIT RPC/CPP,,2155.51
12/23/2024,MORTGAGE INVESTORS GROUP,1000.00,
12/24/2024,INSURANCE CERTAS HOME &AUTO INSURANCE CO CHEQUE,348.64,
12/24/2024,EFT CREDIT CANADA LIFE,,1948.99
12/27/2024,BILL PAYMENT Hydro One CHEQUE,151.91,
12/27/2024,LIFE INSURANCE CANADA LIFE ING CHEQUE,66.60,
12/29/2024, INTEREST,,0.25
12/30/2024,INTERNET BILL PAYMENT MASTERCARD PC FINANCIAL,1500.00,
