Date, Transaction Details, Funds Out, Funds In 
02/03/2025,MORTGAGE INVESTORS GROUP,1000.00,
02/03/2025,INTERNET BILL PAYMENT MASTERCARD PC FINANCIAL,2500.00,
02/04/2025,INVESTMENT IG FIN SERV   IG SERV FIN CHEQUE,660.00,
02/04/2025,MISCELLANEOUS PAYMENTS ALIGHT SOLUTIONS CHEQUE,30.63,
02/04/2025,INSURANCE RBCINS-LIFE CHEQUE,189.00,
02/04/2025,EFT DEBIT CST Savings CHEQUE,160.00,
02/04/2025,LIFE INSURANCE CANADA LIFE ING CHEQUE,366.46,
02/05/2025,INSURANCE CANADA LIFE ASSURANCE CC3100 CHEQUE,267.30,
02/17/2025,MORTGAGE INVESTORS GROUP,1000.00,
02/17/2025, TRANSFER IN 4277.38 USD@.712896,,6000.00
02/18/2025,EFT CREDIT Assistive Devices,,375.00
02/18/2025,PROPERTY TAXES City of Hamilto CHEQUE,644.44,
02/20/2025,EFT CREDIT ACE/CCB,,74.92
02/24/2025,INSURANCE CERTAS HOME &AUTO INSURANCE CO CHEQUE,348.72,
02/24/2025, CHEQUE IMAGE DEPOSIT,,375.00
02/25/2025,INTERNET BILL PAYMENT MASTERCARD PC FINANCIAL,4000.00,
02/26/2025,EFT CREDIT CANADA LIFE,,1948.99
02/26/2025,EFT CREDIT RPC/CPP,,2215.05
02/26/2025,BILL PAYMENT Hydro One CHEQUE,170.88,
02/26/2025,LIFE INSURANCE CANADA LIFE ING CHEQUE,66.60,
02/26/2025, INTEREST,,0.22
